Mode,Classifier,FS,Balancing,Repetition,Seed,Folds,OOFPredictions,ClassifierOptions,Precision,Recall,AUC,Kappa,NPofB20
"FULL","NaiveBayes","Yes","No",4,4,10,14611,"",0.2822045153,0.3419147224,0.7498802089,0.2381939482,0.2212389381
"FULL","IBk","Yes","No",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7644694534,0.7650844730,0.9351336365,0.7428954146,0.7972646822
"FULL","RandomForest","No","Yes",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8247422680,0.8366854385,0.9813025354,0.8148023721,0.8439259855
"FULL","NaiveBayes","No","Yes",4,4,10,14611,"",0.2687576876,0.3515687852,0.7677289650,0.2304259004,0.2188254224
"FULL","IBk","No","Yes",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6347031963,0.7827835881,0.8737915872,0.6700019685,0.7674979887
"FULL","RandomForest","Yes","Yes",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7624434389,0.8133547868,0.9725929297,0.7665771504,0.8423169751
"FULL","NaiveBayes","Yes","Yes",4,4,10,14611,"",0.2511369378,0.3998390990,0.7524059930,0.2278049820,0.2510056315
"FULL","IBk","Yes","Yes",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6728723404,0.8141592920,0.9418525611,0.7097668566,0.8149637973
"FULL","RandomForest","No","No",5,5,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8671943712,0.7932421561,0.9855025967,0.8134041877,0.8656476267
"FULL","NaiveBayes","No","No",5,5,10,14611,"",0.2734212353,0.3169750603,0.7671358470,0.2225748295,0.1938857603
"FULL","IBk","No","No",5,5,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7439126784,0.7127916331,0.8545089485,0.7033194664,0.7160096541
"FULL","RandomForest","Yes","No",5,5,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8317349608,0.7674979887,0.9768328914,0.7803942942,0.8535800483
"FULL","NaiveBayes","Yes","No",5,5,10,14611,"",0.2800788955,0.3427192277,0.7596242729,0.2367900008,0.2252614642
"FULL","IBk","Yes","No",5,5,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7472089314,0.7538213998,0.9313589675,0.7271895893,0.7860016090
"FULL","RandomForest","No","Yes",5,5,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8304140127,0.8390989541,0.9836673041,0.8192794993,0.8495575221
"FULL","NaiveBayes","No","Yes",5,5,10,14611,"",0.2685925015,0.3515687852,0.7684517439,0.2302865476,0.2196299276
"FULL","IBk","No","Yes",5,5,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6439246264,0.7972646822,0.8877476887,0.6825580291,0.7803700724
"FULL","RandomForest","Yes","Yes",5,5,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7652370203,0.8181818182,0.9752376624,0.7706613901,0.8407079646
"FULL","NaiveBayes","Yes","Yes",5,5,10,14611,"",0.2535787321,0.3990345937,0.7618929019,0.2299895461,0.2534191472
"FULL","IBk","Yes","Yes",5,5,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6526791478,0.8133547868,0.9387888453,0.6954649012,0.8093322607
