ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Design,CognitiveComplexity,3,73,"The method 'prepare(Map, TopologyContext, OutputCollector)' has a cognitive complexity of 31, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Design,CyclomaticComplexity,3,93,The method 'run()' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Design,CyclomaticComplexity,3,195,The method 'handleEmit(Map)' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,Design,ExcessiveParameterList,3,41,Avoid long parameter lists (16 parameters - threshold is 10).
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/WorkerTopologyContext.java,Design,ExcessiveParameterList,3,21,Avoid long parameter lists (12 parameters - threshold is 10).
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/CompleteTopologyParam.java,Design,DataClass,3,8,"The class 'CompleteTopologyParam' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/FixedTupleSpout.java,Design,TooManyMethods,3,16,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/MemoryTransactionalSpout.java,Design,AvoidDeeplyNestedIfStmts,3,99,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/MkClusterParam.java,Design,DataClass,3,8,"The class 'MkClusterParam' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/MkTupleParam.java,Design,DataClass,3,6,"The class 'MkTupleParam' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/testing/OpaqueMemoryTransactionalSpout.java,Design,AvoidDeeplyNestedIfStmts,3,115,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/topology/InputDeclarer.java,Design,TooManyMethods,3,9,"This class has too many methods, consider refactoring it."
