IssueKey,ReleaseIndex,Version,CommitId,FilePath,MappingStrategy,EffectiveIV,FV,IVSource,FVSource,BlamedFilePath,FixedFilePath
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java,storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java
STORM-349,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-509,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-566,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/storm/trident/spout/ITridentSpout.java,EXACT_BLAMED_PATH,1,9,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/storm/trident/spout/ITridentSpout.java,storm-core/src/jvm/storm/trident/spout/ITridentSpout.java
STORM-596,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-625,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java
